URI_Name,Provincia,Canton,Parroquia,Tipo,EstudiantesFemenino,EstudiantesMasculino,Total_Alumnos
COLEGIODEBACHILLERATOPARTICULARMIGUELANGELSUAREZ,Loja_Province,LOJA,VALLE,COLEGIO DE BACHILLERATO PARTICULAR MIGUEL ANGEL SUAREZ,16,6,70
COLEGIODEBACHILLERATOPARTICULARPARAPCEIDRJOSEMARIAVIVARCASTRO,Loja_Province,LOJA,SUCRE,COLEGIO DE BACHILLERATO PARTICULAR PARA PCEI DR JOSE MARIA VIVAR CASTRO,7,3,45
COLEGIODEBACHILLERATOPARTICULARPCEIAMAZONAS,Loja_Province,LOJA,ELSAGRARIO,COLEGIO DE BACHILLERATO PARTICULAR PCEI AMAZONAS,2,9,9
COLEGIODEBACHILLERATOPARTICULARPCEIAMAZONAS,Loja_Province,LOJA,SUCRE,COLEGIO DE BACHILLERATO PARTICULAR PCEI AMAZONAS,6,4,10
COLEGIODEBACHILLERATOPARTICULARPCEIISIDROAYORACUEVA,Loja_Province,LOJA,SANSEBASTIAN,COLEGIO DE BACHILLERATO PARTICULAR PCEI ISIDRO AYORA CUEVA,12,3,155
COLEGIODEBACHILLERATOPARTICULARSANGERARDO,Loja_Province,LOJA,SANSEBASTIAN,COLEGIO DE BACHILLERATO PARTICULAR SAN GERARDO,79,24,434
COLEGIODEBACHILLERATOPCEIPIOJARAMILLOALVARADO,Loja_Province,LOJA,SANSEBASTIAN,COLEGIO DE BACHILLERATO PCEI  PIO JARAMILLO ALVARADO,12,1,71
COLEGIODEBACHILLERATOPEDROVICTORFALCONI,Loja_Province,CATAMAYO,ZAMBI,COLEGIO DE BACHILLERATO PEDRO VICTOR FALCONI,9,1,33
COLEGIODEBACHILLERATOPINDAL,Loja_Province,PINDAL,PINDAL,COLEGIO DE BACHILLERATO PINDAL,36,4,402
COLEGIODEBACHILLERATOPRESIDENTEISIDROAYORA,Loja_Province,LOJA,SUCRE,COLEGIO DE BACHILLERATO PRESIDENTE ISIDRO AYORA,7,1,52
COLEGIODEBACHILLERATOPROCERJOSEPICOITA,Loja_Province,CELICA,CRUZPAMBA,COLEGIO DE BACHILLERATO PROCER JOSE PICOITA,11,3,85
